school,school,sex,afe,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3
"""120""","""GP""","""M""",15,"""U""","""GT3""","""T""",3,4,"""other""","""other""","""reputation""","""father""",1,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,4,3,1,2,4,2,14,13
"""121""","""GP""","""F""",15,"""U""","""GT3""","""T""",1,2,"""at_home""","""services""","""course""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""",3,2,3,1,2,1,0,14,14
"""122""","""GP""","""M""",15,"""U""","""GT3""","""T""",2,2,"""services""","""services""","""home""","""father""",1,4,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,5,4,1,2,5,6,14,13
"""123""","""GP""","""F""",16,"""U""","""LE3""","""T""",2,4,"""other""","""health""","""course""","""father""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,2,2,1,2,5,2,14,12
"""124""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,4,"""health""","""other""","""course""","""mother""",1,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,4,4,1,4,5,4,12,13
"""125""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,2,"""other""","""other""","""home""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",5,4,4,1,1,5,0,12,11
"""126""","""GP""","""M""",15,"""U""","""GT3""","""T""",3,4,"""services""","""services""","""home""","""father""",1,1,0,"""yes""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,5,5,3,2,5,2,9,9
"""127""","""GP""","""F""",15,"""U""","""LE3""","""A""",3,4,"""other""","""other""","""home""","""mother""",1,2,0,"""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",5,3,2,1,1,1,0,10,11
"""128""","""GP""","""F""",19,"""U""","""GT3""","""T""",0,1,"""at_home""","""other""","""course""","""other""",1,2,2,"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",3,4,2,1,1,5,0,9,10
"""129""","""GP""","""M""",16,"""R""","""GT3""","""T""",4,4,"""teacher""","""teacher""","""course""","""mother""",1,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,5,5,2,5,4,8,14,14
"""130""","""GP""","""M""",16,"""U""","""GT3""","""T""",2,3,"""other""","""other""","""course""","""mother""",2,3,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""yes""",3,2,3,2,2,1,4,13,12
"""131""","""GP""","""F""",15,"""R""","""GT3""","""T""",3,4,"""services""","""teacher""","""course""","""father""",2,3,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,2,2,2,2,5,0,10,11
"""132""","""GP""","""F""",18,"""U""","""GT3""","""T""",2,1,"""services""","""other""","""reputation""","""mother""",1,2,3,"""no""","""yes""","""no""","""yes""","""yes""","""no""","""yes""","""yes""",5,4,5,1,3,5,10,10,9
"""133""","""GP""","""F""",17,"""U""","""LE3""","""A""",2,1,"""other""","""other""","""course""","""mother""",3,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,2,2,1,2,5,8,11,10
"""134""","""GP""","""F""",15,"""U""","""GT3""","""T""",1,1,"""at_home""","""other""","""course""","""mother""",3,1,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",4,3,3,1,2,4,6,11,12
"""135""","""GP""","""F""",17,"""U""","""LE3""","""T""",2,2,"""other""","""other""","""course""","""father""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",3,4,4,1,3,5,2,13,12
"""136""","""GP""","""F""",16,"""U""","""GT3""","""A""",3,4,"""services""","""other""","""course""","""father""",1,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,2,1,1,4,5,12,15,13
"""137""","""GP""","""M""",16,"""U""","""GT3""","""T""",2,1,"""at_home""","""other""","""course""","""mother""",4,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",3,2,1,1,1,2,4,9,9
"""138""","""GP""","""F""",16,"""U""","""GT3""","""A""",2,2,"""other""","""other""","""home""","""mother""",1,1,1,"""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",5,3,4,1,1,5,12,13,11
"""139""","""GP""","""M""",15,"""R""","""GT3""","""T""",3,4,"""at_home""","""teacher""","""course""","""mother""",4,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""yes""",5,3,3,1,1,5,2,12,11
"""140""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,4,"""services""","""at_home""","""course""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,3,3,1,1,5,4,13,14
"""141""","""GP""","""M""",17,"""R""","""GT3""","""T""",3,4,"""at_home""","""other""","""course""","""mother""",3,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",5,4,5,2,4,5,2,10,9
"""142""","""GP""","""F""",16,"""R""","""GT3""","""T""",1,1,"""at_home""","""other""","""course""","""mother""",4,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",5,1,3,1,1,3,0,14,13
"""143""","""GP""","""M""",18,"""U""","""LE3""","""T""",3,1,"""services""","""services""","""course""","""mother""",2,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",3,3,4,4,5,4,2,11,11
"""144""","""GP""","""F""",18,"""U""","""GT3""","""A""",3,2,"""other""","""services""","""course""","""other""",1,3,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",4,3,3,5,1,5,10,12,11
"""145""","""GP""","""F""",16,"""R""","""GT3""","""T""",1,1,"""other""","""services""","""reputation""","""mother""",2,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""yes""",3,3,3,1,2,1,8,12,11
"""146""","""GP""","""F""",16,"""U""","""GT3""","""A""",3,3,"""other""","""other""","""course""","""other""",2,1,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",4,3,2,1,1,5,4,9,9
"""147""","""GP""","""M""",16,"""U""","""LE3""","""T""",1,1,"""services""","""other""","""course""","""mother""",1,2,2,"""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""yes""",4,4,4,1,3,5,0,10,10
"""148""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,4,"""teacher""","""teacher""","""course""","""mother""",2,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,2,1,1,5,6,13,14
"""149""","""GP""","""F""",15,"""R""","""GT3""","""T""",1,1,"""other""","""other""","""course""","""mother""",3,1,1,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",5,5,5,1,1,1,2,8,9
"""150""","""GP""","""M""",15,"""U""","""GT3""","""T""",4,3,"""teacher""","""services""","""course""","""father""",2,4,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",2,2,2,1,1,3,6,9,11
"""151""","""GP""","""F""",15,"""U""","""GT3""","""A""",3,3,"""services""","""services""","""home""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",1,3,2,2,3,1,24,9,8
"""152""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,4,"""services""","""services""","""course""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,3,3,1,3,5,0,15,13
"""153""","""GP""","""M""",16,"""U""","""LE3""","""T""",2,2,"""services""","""services""","""reputation""","""father""",2,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",2,3,3,2,2,2,4,12,11
"""154""","""GP""","""F""",15,"""U""","""GT3""","""T""",4,4,"""teacher""","""services""","""course""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,2,2,1,1,5,2,13,13
"""155""","""GP""","""F""",16,"""U""","""LE3""","""T""",1,1,"""at_home""","""at_home""","""course""","""mother""",1,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,4,4,3,3,1,4,10,11
"""156""","""GP""","""M""",17,"""U""","""GT3""","""T""",2,1,"""other""","""other""","""home""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,4,5,1,2,5,22,9,7
"""157""","""GP""","""F""",15,"""U""","""GT3""","""T""",1,1,"""other""","""services""","""course""","""father""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,4,2,1,2,5,0,12,12
"""158""","""GP""","""F""",15,"""U""","""LE3""","""A""",2,1,"""at_home""","""other""","""home""","""mother""",2,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""no""","""yes""","""yes""",4,4,2,1,1,5,0,11,10
"""159""","""GP""","""F""",15,"""U""","""GT3""","""T""",3,2,"""health""","""services""","""home""","""father""",1,2,1,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,3,2,1,1,3,2,11,11
"""160""","""GP""","""F""",15,"""U""","""GT3""","""T""",1,2,"""at_home""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""",4,3,2,1,1,5,6,13,12
"""161""","""GP""","""F""",15,"""U""","""GT3""","""T""",1,2,"""at_home""","""services""","""course""","""father""",1,2,0,"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",2,3,4,2,4,1,6,11,11
"""162""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,4,"""teacher""","""teacher""","""course""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""no""","""yes""","""yes""",3,3,2,2,1,5,16,9,9
"""163""","""GP""","""M""",15,"""U""","""LE3""","""A""",2,1,"""services""","""other""","""course""","""mother""",4,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,5,5,2,5,5,0,12,11
"""164""","""GP""","""M""",18,"""U""","""LE3""","""T""",1,1,"""other""","""other""","""course""","""mother""",1,1,2,"""no""","""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""",2,3,5,2,5,4,0,11,9
"""165""","""GP""","""M""",16,"""U""","""LE3""","""T""",2,1,"""at_home""","""other""","""course""","""mother""",1,1,1,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""","""yes""",4,4,4,3,5,5,6,9,10
"""166""","""GP""","""F""",15,"""R""","""GT3""","""T""",3,3,"""services""","""services""","""reputation""","""other""",2,3,0,"""no""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""",4,2,1,2,3,3,2,13,13
"""167""","""GP""","""M""",19,"""U""","""GT3""","""T""",3,2,"""services""","""at_home""","""home""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""no""","""yes""","""yes""",4,5,4,1,1,4,6,11,9
"""168""","""GP""","""F""",17,"""U""","""GT3""","""T""",4,4,"""other""","""teacher""","""course""","""mother""",1,1,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""yes""",4,2,1,1,1,4,0,13,13
"""169""","""GP""","""M""",15,"""R""","""GT3""","""T""",2,3,"""at_home""","""services""","""course""","""mother""",1,2,0,"""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""","""no""",4,4,4,1,1,1,0,7,8
"""170""","""GP""","""M""",17,"""R""","""LE3""","""T""",1,2,"""other""","""other""","""reputation""","""mother""",1,1,3,"""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",2,2,2,3,3,5,14,9,8
"""171""","""GP""","""F""",18,"""R""","""GT3""","""T""",1,1,"""at_home""","""other""","""course""","""mother""",3,1,3,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""no""","""no""",5,2,5,1,5,4,6,11,10
"""172""","""GP""","""M""",16,"""R""","""GT3""","""T""",2,2,"""at_home""","""other""","""course""","""mother""",3,1,0,"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",4,2,2,1,2,3,4,12,10
"""173""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,3,"""other""","""services""","""course""","""father""",1,2,1,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,5,5,4,4,5,0,10,10
"""174""","""GP""","""M""",16,"""U""","""LE3""","""T""",1,2,"""health""","""services""","""course""","""mother""",2,1,2,"""no""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""",4,4,5,3,5,5,0,9,8
"""175""","""GP""","""M""",17,"""R""","""LE3""","""T""",2,1,"""at_home""","""other""","""course""","""mother""",2,1,1,"""no""","""no""","""yes""","""yes""","""yes""","""no""","""yes""","""yes""",3,3,2,2,2,5,8,8,8
"""176""","""GP""","""M""",17,"""R""","""GT3""","""T""",3,2,"""other""","""other""","""course""","""mother""",2,2,2,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,4,4,1,4,3,4,7,6
"""177""","""GP""","""M""",15,"""U""","""LE3""","""T""",1,2,"""other""","""other""","""course""","""mother""",2,1,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""","""no""",4,4,4,2,4,5,2,8,9
"""178""","""GP""","""M""",16,"""U""","""GT3""","""T""",1,3,"""at_home""","""services""","""course""","""father""",1,1,1,"""no""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""",5,3,3,1,4,2,2,9,8
"""179""","""GP""","""M""",17,"""R""","""LE3""","""T""",1,1,"""other""","""services""","""course""","""mother""",4,2,0,"""no""","""no""","""no""","""yes""","""yes""","""no""","""no""","""yes""",5,3,5,1,5,5,0,8,8
"""180""","""GP""","""M""",17,"""U""","""GT3""","""T""",3,2,"""services""","""services""","""course""","""mother""",2,1,3,"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""",4,5,2,1,1,2,10,8,7
"""181""","""GP""","""M""",16,"""U""","""GT3""","""T""",2,2,"""other""","""other""","""course""","""father""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""",4,3,5,2,4,4,0,9,10
"""182""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,2,"""health""","""services""","""home""","""father""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,2,3,1,1,3,0,17,17
"""183""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,2,"""other""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""no""",5,1,5,1,1,4,0,12,12
"""184""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,4,"""health""","""health""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",4,4,2,1,1,3,0,16,16
"""185""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,4,"""other""","""other""","""course""","""father""",3,1,1,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""no""",3,4,5,2,4,2,4,9,9
"""186""","""GP""","""M""",16,"""U""","""GT3""","""T""",1,0,"""other""","""other""","""reputation""","""mother""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,3,2,1,1,3,0,16,17
"""187""","""GP""","""M""",17,"""U""","""LE3""","""T""",4,4,"""teacher""","""other""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,4,4,1,3,5,0,11,9
"""188""","""GP""","""F""",16,"""U""","""GT3""","""T""",1,3,"""at_home""","""services""","""home""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""","""yes""",4,3,5,1,1,3,0,14,13
"""189""","""GP""","""F""",16,"""U""","""LE3""","""T""",3,3,"""other""","""other""","""reputation""","""mother""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,4,5,1,1,4,0,14,14
"""190""","""GP""","""M""",17,"""U""","""LE3""","""T""",4,3,"""teacher""","""other""","""course""","""mother""",2,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,4,4,4,4,4,0,10,11
"""191""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,2,"""services""","""other""","""reputation""","""mother""",2,2,0,"""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""","""no""",3,4,4,1,4,5,0,13,12
"""192""","""GP""","""M""",17,"""U""","""GT3""","""T""",3,3,"""other""","""other""","""reputation""","""father""",1,2,0,"""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""","""no""",4,3,4,1,4,4,4,11,9
"""193""","""GP""","""M""",16,"""R""","""GT3""","""T""",4,2,"""teacher""","""services""","""other""","""mother""",1,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,3,3,3,4,3,8,10,9
"""194""","""GP""","""M""",17,"""U""","""GT3""","""T""",4,3,"""other""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""",5,2,3,1,1,2,4,11,11
"""195""","""GP""","""M""",16,"""U""","""GT3""","""T""",4,3,"""teacher""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""yes""","""yes""","""yes""","""yes""","""yes""","""no""",3,4,3,2,3,3,4,11,10
"""196""","""GP""","""M""",16,"""U""","""GT3""","""T""",3,3,"""services""","""other""","""home""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,2,3,1,2,3,0,11,12
"""197""","""GP""","""F""",17,"""U""","""GT3""","""T""",2,4,"""services""","""services""","""reputation""","""father""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",5,4,2,2,3,5,0,17,18
"""198""","""GP""","""F""",17,"""U""","""LE3""","""T""",3,3,"""other""","""other""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",5,3,3,2,3,1,32,14,13
"""199""","""GP""","""F""",16,"""U""","""GT3""","""T""",3,2,"""other""","""other""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",1,2,2,1,2,1,8,14,15
"""200""","""GP""","""M""",17,"""U""","""GT3""","""T""",3,3,"""services""","""services""","""other""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,3,4,2,3,4,6,11,13
"""201""","""GP""","""M""",16,"""U""","""GT3""","""T""",1,2,"""services""","""services""","""other""","""mother""",1,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",3,3,3,1,2,3,0,10,9
"""202""","""GP""","""M""",16,"""U""","""LE3""","""T""",2,1,"""other""","""other""","""course""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,2,3,1,2,5,0,13,14
"""203""","""GP""","""F""",17,"""U""","""GT3""","""A""",3,3,"""health""","""other""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""yes""","""yes""",3,3,3,1,3,3,10,12,13
"""204""","""GP""","""M""",17,"""R""","""GT3""","""T""",1,2,"""at_home""","""other""","""home""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",3,1,3,1,5,3,6,9,9
"""205""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,3,"""services""","""services""","""course""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,3,3,1,1,2,6,12,12
"""206""","""GP""","""F""",17,"""U""","""GT3""","""T""",1,1,"""at_home""","""services""","""course""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",5,3,3,1,1,3,0,12,11
"""207""","""GP""","""M""",17,"""U""","""GT3""","""T""",1,2,"""at_home""","""services""","""other""","""other""",2,2,0,"""no""","""no""","""no""","""yes""","""no""","""yes""","""yes""","""no""",4,4,4,4,5,5,16,10,11
"""208""","""GP""","""M""",16,"""R""","""GT3""","""T""",3,3,"""services""","""services""","""reputation""","""mother""",1,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,2,3,4,5,0,11,10
"""209""","""GP""","""M""",16,"""U""","""GT3""","""T""",2,3,"""other""","""other""","""home""","""father""",2,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,3,3,1,1,3,0,13,12
"""210""","""GP""","""F""",17,"""U""","""LE3""","""T""",2,4,"""services""","""services""","""course""","""father""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,3,2,1,1,5,8,14,15
"""211""","""GP""","""M""",17,"""U""","""GT3""","""T""",4,4,"""services""","""teacher""","""home""","""mother""",1,1,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,2,3,1,2,5,4,13,13
"""212""","""GP""","""M""",16,"""R""","""LE3""","""T""",3,3,"""teacher""","""other""","""home""","""father""",3,1,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",3,3,4,3,5,3,16,10,11
"""213""","""GP""","""F""",17,"""U""","""GT3""","""T""",4,4,"""services""","""teacher""","""home""","""mother""",2,1,1,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,2,4,2,3,2,30,14,15
"""214""","""GP""","""F""",16,"""U""","""LE3""","""T""",4,4,"""teacher""","""teacher""","""reputation""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,5,2,1,2,3,0,11,10
"""215""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,3,"""health""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,5,1,5,2,2,14,14
"""216""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,3,"""other""","""other""","""reputation""","""mother""",1,2,0,"""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""",4,4,3,1,3,4,4,11,12
"""217""","""GP""","""F""",17,"""U""","""GT3""","""T""",1,1,"""other""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",4,4,4,1,3,1,0,14,15
"""218""","""GP""","""F""",17,"""R""","""GT3""","""T""",2,2,"""other""","""other""","""reputation""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",5,3,2,1,2,3,21,13,13
"""219""","""GP""","""F""",16,"""R""","""GT3""","""T""",2,2,"""services""","""services""","""reputation""","""mother""",2,4,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""no""",5,3,5,1,1,5,6,13,13
"""220""","""GP""","""F""",17,"""U""","""GT3""","""T""",3,4,"""at_home""","""services""","""home""","""mother""",1,3,1,"""no""","""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""",4,4,3,3,4,5,14,8,9
"""221""","""GP""","""F""",16,"""U""","""GT3""","""A""",3,1,"""services""","""other""","""course""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",2,3,3,2,2,4,2,11,11
"""222""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,3,"""teacher""","""other""","""other""","""mother""",1,2,0,"""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",1,3,2,1,1,1,4,14,15
"""223""","""GP""","""F""",16,"""U""","""GT3""","""T""",1,1,"""at_home""","""other""","""home""","""mother""",2,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",4,3,2,1,4,5,2,12,13
"""224""","""GP""","""F""",17,"""R""","""GT3""","""T""",4,3,"""teacher""","""other""","""reputation""","""mother""",2,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""yes""",4,4,2,1,1,4,0,11,12
"""225""","""GP""","""F""",19,"""U""","""GT3""","""T""",3,3,"""other""","""other""","""reputation""","""other""",1,4,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,3,1,2,3,4,12,12
"""226""","""GP""","""M""",17,"""U""","""LE3""","""T""",4,4,"""services""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",5,3,5,4,5,3,15,13,12
"""227""","""GP""","""F""",16,"""U""","""GT3""","""A""",2,2,"""other""","""other""","""reputation""","""mother""",1,2,0,"""yes""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,3,4,1,1,4,0,13,13
"""228""","""GP""","""M""",18,"""U""","""GT3""","""T""",2,2,"""services""","""other""","""home""","""mother""",1,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,4,4,2,4,5,10,12,11
"""229""","""GP""","""F""",17,"""R""","""LE3""","""T""",4,4,"""services""","""other""","""other""","""mother""",1,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",5,2,1,1,2,3,6,12,11
"""230""","""GP""","""F""",17,"""U""","""LE3""","""T""",3,2,"""other""","""other""","""reputation""","""mother""",2,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",4,4,4,1,3,1,2,14,16
"""231""","""GP""","""F""",17,"""U""","""GT3""","""T""",4,3,"""other""","""other""","""reputation""","""mother""",1,2,0,"""no""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""yes""",3,4,5,2,4,1,16,11,9
"""232""","""GP""","""M""",18,"""U""","""LE3""","""T""",3,3,"""services""","""health""","""home""","""father""",1,2,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""yes""","""no""",3,2,4,2,4,4,10,10,10
"""233""","""GP""","""F""",17,"""U""","""GT3""","""T""",2,3,"""at_home""","""other""","""home""","""father""",2,1,0,"""no""","""yes""","""no""","""no""","""yes""","""yes""","""no""","""no""",3,3,3,1,4,3,4,12,13
"""234""","""GP""","""F""",17,"""U""","""GT3""","""T""",2,2,"""at_home""","""at_home""","""course""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,3,3,1,1,4,0,12,12
"""235""","""GP""","""F""",17,"""R""","""GT3""","""T""",2,1,"""at_home""","""services""","""reputation""","""mother""",2,2,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""yes""","""no""",4,2,5,1,2,5,0,11,10
"""236""","""GP""","""F""",17,"""U""","""GT3""","""T""",1,1,"""at_home""","""other""","""reputation""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""yes""","""yes""","""no""","""yes""",4,3,4,1,1,5,12,12,12
"""237""","""GP""","""F""",16,"""U""","""GT3""","""T""",2,3,"""services""","""teacher""","""other""","""mother""",1,2,0,"""yes""","""no""","""no""","""no""","""yes""","""yes""","""yes""","""no""",2,3,1,1,1,3,0,13,13
"""238""","""GP""","""M""",18,"""U""","""GT3""","""T""",2,2,"""other""","""other""","""home""","""mother""",2,2,3,"""no""","""yes""","""yes""","""no""","""yes""","""yes""","""yes""","""no""",3,3,3,5,5,4,9,10,9
"""239""","""GP""","""F""",16,"""U""","""GT3""","""T""",4,4,"""teacher""","""services""","""home""","""mother""",1,3,0,"""no""","""yes""","""no""","""yes""","""no""","""yes""","""yes""","""no""",5,3,2,1,1,5,4,15,16
